"teamName","inGameName","checkedInAt","userID","teamID","Nome e # no discord"
"MERCENÁRIOS 2.0","OldZe pequeno71","Sat Sep 12 2020 12:53:27 GMT+0000 (UTC)","5de9542fbc3ed711b18c5cd0","5f5bce8ac170a364bd6252c3","HELLBOY#5778"
"Flex Power","Jaw","Sat Sep 12 2020 12:28:02 GMT+0000 (UTC)","5e17c05ffba5985c0a8b7d44","5f5b03b6dd108363c7241276","Nícolas Matheus #4422"
"KIL","xW4NTEDx","Sat Sep 12 2020 12:31:15 GMT+0000 (UTC)","5e3ed27a15328f10945dbe4f","5f53c4672736604a1961a6d4","Dama#1138"
"Real Kamikaze","Warnaiz","Sat Sep 12 2020 12:26:39 GMT+0000 (UTC)","5e40934a80de3a1089790b1b","5f55a6a242aba6378979c0bf","MathHill#9451"
"Quadrante Imperfeito","GodAxel","Sat Sep 12 2020 12:27:58 GMT+0000 (UTC)","5e46a8499c90f27b3f0f9d6e","5f58ef42e425a655aadc9c40","Taventrez #2341"
"Quadrante Imperfeito","Ladrafi","Sat Sep 12 2020 12:27:58 GMT+0000 (UTC)","5e49c51d8108fb105f480db2","5f58ef42e425a655aadc9c40","Taventrez #2341"
"Quadrante Imperfeito","Taventrez","Sat Sep 12 2020 12:27:58 GMT+0000 (UTC)","5e53361e29027a1e76b905e7","5f58ef42e425a655aadc9c40","Taventrez #2341"
"Los Papa Penta","Wallach","Sat Sep 12 2020 12:53:31 GMT+0000 (UTC)","5e5343870837061051c01e71","5f5c315a9c6df363ad9f8983","Bibies#4506"
"Fine Thin Gaming","Atthenu","Sat Sep 12 2020 12:30:18 GMT+0000 (UTC)","5e5417450837061051c0367d","5f566b4b95561b78729a9470","Jordan - PUPA#7368 discord"
"Tigers in Sweatersツ","Wxrtortle","Sat Sep 12 2020 12:26:34 GMT+0000 (UTC)","5e548b116bd3c874dea3c6ad","5f53d9cdac8493575c244840","AslanJoy#7943"
"Quadrante Imperfeito","ShannonNagare","Sat Sep 12 2020 12:27:58 GMT+0000 (UTC)","5e54ae9948c7f974c8a0ec0c","5f58ef42e425a655aadc9c40","Taventrez #2341"
"Atropeladinos","Franco_BR_","Sat Sep 12 2020 12:35:00 GMT+0000 (UTC)","5e559078430b6b5827604efb","5f5aea4b513be46175c9a82e","Henrique de Oliveira#1248"
"Hybrid","Franco_BR_","Sat Sep 12 2020 12:40:23 GMT+0000 (UTC)","5e559078430b6b5827604efb","5f5bec610c405a2571494029","Sub#3680"
"Forces of the Abyss","joaopunhetero","Sat Sep 12 2020 12:42:37 GMT+0000 (UTC)","5e5593af48c7f974c8a1003d","5f5b91820c405a257149379f","Kanster#3095"
"Legião Paladiana","HendrickHunteBR","Sat Sep 12 2020 12:27:08 GMT+0000 (UTC)","5e55adcd6bd3c874dea3e1d0","5f5432aaac8493575c24595e","teradagamer#7235"
"PCListas","MrTecky","Sat Sep 12 2020 12:34:25 GMT+0000 (UTC)","5e5688cb6bd3c874dea3f2f0","5f5909633fb598326a1eeec6","Tecky#8852"
"Fine Thin Gaming","lïpee","Sat Sep 12 2020 12:30:18 GMT+0000 (UTC)","5e57ed7150f4dc51b883eaea","5f566b4b95561b78729a9470","Jordan - PUPA#7368 discord"
"Infinity","pökerface","Sat Sep 12 2020 12:27:05 GMT+0000 (UTC)","5e5804987516ce2009b6185e","5f5aafe7513be46175c9a35f","magnus#1244"
,"Agente livre",,"5e581939424f96204e365c38",,
"TOC","Berdeguinha","Sat Sep 12 2020 12:37:23 GMT+0000 (UTC)","5e58222da9754105734ed802","5f5a7c93e425a655aadcb778","Witchhat#2417"
"Forces of the Abyss","cremecrackccafe","Sat Sep 12 2020 12:42:37 GMT+0000 (UTC)","5e582d5642828b057ff75df4","5f5b91820c405a257149379f","Kanster#3095"
"H.A.W.K'S","CPX-Kevinhoo-","Sat Sep 12 2020 12:28:29 GMT+0000 (UTC)","5e582f6862408b2042d65d6f","5f550c1520ac296025cf22fb","hawk_copulam#3795"
"MANDRAKES 0800","nasaSandEar","Sat Sep 12 2020 12:30:49 GMT+0000 (UTC)","5e583532424f96204e365e1e","5f566ec09ba2df6416d84d8b","VINI°#3125"
"Eletric Shark","crvbot","Sat Sep 12 2020 12:28:58 GMT+0000 (UTC)","5e5837197516ce2009b61d14","5f5548c09ba2df6416d83528","Guerra#4882"
"NOPLAYER SPORTS","PaladinoYu","Sat Sep 12 2020 12:26:55 GMT+0000 (UTC)","5e58398c62408b2042d65e83","5f58f20676b8305ffaa4b936","Dibremann#6642"
"Quadrante Imperfeito","MatheusBreak15","Sat Sep 12 2020 12:27:58 GMT+0000 (UTC)","5e583e40424f96204e365f2c","5f58ef42e425a655aadc9c40","Taventrez #2341"
"Tigers in Sweatersツ","IMarcao","Sat Sep 12 2020 12:26:34 GMT+0000 (UTC)","5e58426662408b2042d65f8e","5f53d9cdac8493575c244840","AslanJoy#7943"
